Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Company,name,Data,Yes,Company name,Haritha Hospitals,unique per site
Company,abbr,Data,Yes,Company abbreviation,HH,unique, max 6 chars
Company,default_currency,Link,Yes,Default currency for transactions,INR,Link → Currency
Company,country,Link,Yes,Country where company is registered,India,Link → Country
Company,fiscal_year_start_month,Select,Yes,Month when fiscal year starts,April,January-December
Company,default_holiday_list,Link,No,Default holiday list applied to all employees,Haritha Hospitals Holiday List,Link → Holiday List
Company,chart_of_accounts,Link,No,Chart of Accounts template to use,Standard,Link → Chart of Accounts Template
Company,domain,Data,No,Business domain,Healthcare,Manufacturing/Retail/Healthcare/etc.
Company,date_of_establishment,Date,No,Date the company was established,2020-01-01,ISO date
Fiscal Year,year,Data,Yes,Fiscal year label,2025-2026,unique
Fiscal Year,year_start_date,Date,Yes,First day of fiscal year,2025-04-01,ISO date
Fiscal Year,year_end_date,Date,Yes,Last day of fiscal year,2026-03-31,ISO date
Fiscal Year,companies,Table,No,Companies linked to this fiscal year (child table),,child rows: company Link → Company
Holiday List,name,Data,Yes,Holiday list name,Haritha Hospitals Holiday List,unique
Holiday List,weekly_off,Select,Yes,Default weekly off day for this list,Sunday,Sunday-Saturday
Holiday List,from_date,Date,Yes,Start date of the holiday list validity,2025-01-01,ISO date
Holiday List,to_date,Date,Yes,End date of the holiday list validity,2026-12-31,ISO date
Holiday List,company,Link,No,Company this holiday list belongs to,Haritha Hospitals,Link → Company
Holiday List,holidays,Table,No,List of holidays (child table — see Holiday DocType),,child rows: holiday_date + description
Holiday,parent,Link,Yes,Parent holiday list,Haritha Hospitals Holiday List,Link → Holiday List
Holiday,holiday_date,Date,Yes,Date of the holiday,2025-01-26,ISO date
Holiday,description,Data,Yes,Holiday name,Republic Day,free text
Holiday,weekly_off,Check,No,Marks a recurring weekly off (Sunday),0,0/1
Holiday,optional_holiday,Check,No,Optional holiday (employee can choose),0,0/1
Department,name,Data,Yes,Department name (canonicalized),Cardiology,unique (do not modify source)
Department,parent_department,Link,No,Parent department in the tree,All Departments,Link → Department
Department,company,Link,Yes,Company this department belongs to,Haritha Hospitals,Link → Company
Department,is_group,Check,No,Whether this is a group node (no transactions),0,0/1
Department,disabled,Check,No,Disabled without deletion,0,0/1
Department,leave_block_list,Link,No,Leave block list if applicable,,Link → Leave Block List
Designation,name,Data,Yes,Designation name (canonicalized source),Senior Staff Nurse,unique (do not modify source)
Designation,description,Text,No,Description of the designation,Senior nursing role,free text
Designation,appraisal_template,Link,No,Default appraisal template,,Link → Appraisal Template
