fieldname,label,type,required,example,validation,client_value,notes
branch,Branch,Data,Y,Main Hospital,unique,,
company,Company,Link,N,Haritha Hospitals Pvt Ltd,must exist,,
branch_code,Branch Code,Data,N,MAIN,short code,,
branch_type,Branch Type,Select,N,Hospital,Hospital/Clinic/Lab/Pharmacy/Office,,
state,State,Link,N,Telangana,drives Holiday List,,
city,City,Data,N,Hyderabad,,,
pincode,Pincode,Data,N,500001,6-digit Indian pincode,,
latitude,Latitude,Float,N,17.3850,,,
longitude,Longitude,Float,N,78.4867,,,
bed_count,Bed Count,Int,N,300,,,
