fieldname,label,type,required,example,validation,client_value,notes
shift_type,Shift Type,Link,Y,Morning-8h,must exist,,
from_date,From Date,Date,Y,2026-09-01,YYYY-MM-DD,,
to_date,To Date,Date,Y,2026-09-30,YYYY-MM-DD,>=from_date,,
frequency,Frequency,Select,Y,Every Week,Every 1/2/3/4 Weeks,,
company,Company,Link,N,ABC Healthcare Pvt Ltd,must exist,,
department,Department,Link,N,ICU,must exist,,
enable_auto_shift_schedule,Enable Auto Shift Schedule,Check,N,1,0/1,,
day (child),Day,Select,Y,Monday,Mon-Sun,at least one,,
employee (child),Employee,Link,Y,EMP-0001,must exist,,
shift_type (child),Shift Type,Link,Y,Morning-8h,must exist,,
start_date (child),Start Date,Date,Y,2026-09-01,,,
end_date (child),End Date,Date,N,2026-09-30,blank = ongoing,,
shift_location (child),Shift Location,Link,N,Main Hospital - ICU,must exist,,
status (child),Status,Select,N,Active,Active/Inactive,,
