fieldname,label,type,required,example,validation,client_value,notes
name,Leave Type Name,Data,Y,Casual Leave,unique,,
max_leave_allocation_allowed,Max Allocation Allowed,Int,N,12,>=0,,
applicable_after,Applicable After (working days),Int,N,0,>=0,,
max_consecutive_leaves_allowed,Max Consecutive Leaves,Int,N,3,>=0,,
is_carry_forward,Is Carry Forward,Check,N,0,0/1,,
carry_forward_leaves_limit,Carry Forward Limit,Int,N,0,>=0,,
earned_leave,Is Earned Leave,Check,N,0,0/1,,
earned_leave_frequency,Earned Leave Frequency,Select,N,Monthly,Monthly/Quarterly/Half-Yearly/Yearly,,
is_leave_without_pay,Is Leave Without Pay,Check,N,0,0/1,mutually exclusive with partially_paid,
is_partially_paid_leaves,Is Partially Paid Leave,Check,N,0,0/1,mutually exclusive with LWP,
fraction_of_daily_salary_per_leave,Fraction of Daily Salary,Float,N,0.5,0-1,,
is_optional_leaves,Is Optional Leave,Check,N,0,0/1,,
max_days_leave_allowed,Max Optional Leaves,Int,N,0,>=0,,
allow_negative_balance,Allow Negative Balance,Check,N,0,0/1,,
allow_over_allocation,Allow Over Allocation,Check,N,0,0/1,does NOT override max_allocation,
include_holidays_within_leaves_as_leaves,Include Holidays Within Leaves,Check,N,0,0/1,,
is_compensatory,Is Compensatory Leave,Check,N,0,0/1,,
allow_encashment,Allow Encashment,Check,N,0,0/1,last-month-of-period,
requires_medical_certificate,Requires Medical Certificate,Check,N,0,0/1,for Sick Leave >2 days,
