fieldname,label,type,required,example,validation,client_value,notes
employee,Employee,Link,Y,EMP-A001,must exist,,
employee_name,Employee Name,Data,Y,Employee A,non-empty,join key for prod to dev ID remap,
attendance_date,Attendance Date,Date,Y,2025-09-01,YYYY-MM-DD,one record per employee per day,
status,Status,Select,Y,Present,Present/Absent/Half Day/On Leave/Work From Home,,
company,Company,Link,Y,Company A,must exist,,
department,Department,Link,N,Department A,must exist,auto-fetched from employee,
shift,Shift,Link,N,Shift Type A,must exist if set,defaults from employee.default_shift,
leave_type,Leave Type,Link,N,Leave Type A,must exist if status=On Leave,required when status=On Leave,
leave_application,Leave Application,Link,N,LAP-26-09-00001,must exist if set,traceability link,
in_time,In Time,Datetime,N,2025-09-01 09:00:00,YYYY-MM-DD HH:MM:SS,24h clock,
out_time,Out Time,Datetime,N,2025-09-01 18:00:00,YYYY-MM-DD HH:MM:SS,24h clock,
working_hours,Working Hours,Float,N,9.0,>=0,auto-computed from in_time/out_time,
late_entry,Late Entry,Check,N,0,0/1,derived from shift grace period,
early_exit,Early Exit,Check,N,0,0/1,derived from shift grace period,
docstatus,Document Status,Int,Y,1,0=Draft/1=Submitted/2=Cancelled,submit to drive payroll,
