fieldname,label,type,required,example,validation,client_value,notes
employee,Employee,Link,Y,EMP-A001,must exist,,
employee_name,Employee Name,Data,Y,Employee A,non-empty,join key for prod to dev ID remap,
leave_type,Leave Type,Link,Y,Leave Type A,must exist,,
transaction_type,Transaction Type,Select,Y,Allocation,Allocation/Application/Encashment/Expiration/Forfeiture/Manual,,
transaction_date,Transaction Date,Date,Y,2025-09-01,YYYY-MM-DD,,
company,Company,Link,Y,Company A,must exist,auto-fetched,
leaves,Leaves Balance,Float,Y,12.0,positive or negative,current ledger balance after transaction,
leaves_added,Leaves Added,Float,Y,2.0,positive or negative,delta applied by this transaction,
leaves_expired,Leaves Expired,Float,N,0.0,>=0,only for Expiration type,
amount,Amount,Float,N,0.0,numeric,monetary value for Encashment,
is_carry_forward,Is Carry Forward,Check,N,0,0/1,only for Allocation type,
leave_application,Leave Application,Link,N,LAP-26-09-00001,must exist if set,for Application type,
leave_allocation,Leave Allocation,Link,N,LAL-26-09-00001,must exist if set,for Allocation type,
attendance,Attendance,Link,N,HR-ATT-26-09-00001,must exist if set,for backdated adjustment,
docstatus,Document Status,Int,Y,1,0=Draft/1=Submitted/2=Cancelled,submit to finalize,
