# Haritha Hospitals - Schema + Data
# Entity: Attendance
# Generated: 2026-08-19 19:31 IST

## Schema
Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Attendance,employee,Link,Yes,Employee,EMP-001,Link → Employee
Attendance,attendance_date,Date,Yes,Date of attendance,2025-05-26,ISO date
Attendance,status,Select,Yes,Attendance status,Present,Present/Absent/On Leave/Half Day/Work From Home/Weekly Off/Holiday/Optional Holiday
Attendance,shift,Link,No,Shift type,Morning Regular 06:00-14:00,Link → Shift Type
Attendance,leave_type,Link,No,Leave type if On Leave / Half Day,Casual Leave,Link → Leave Type
Attendance,leave_application,Link,No,Leave application linkage,LAP-001,Link → Leave Application
Attendance,late_entry_by,Int,No,Minutes late (custom field — 0 if not late),0,Custom Field (Rule #9 from day 1)
Attendance,early_out_by,Int,No,Minutes early (custom field — 0 if not early),0,Custom Field (Rule #9 from day 1)
Attendance,is_wfh,Check,No,Work from home flag (custom field — fixes pberpqa gap),0,Custom Field 0/1
Attendance,company,Link,Yes,Company,Haritha Hospitals,Link → Company

## Data
employee,attendance_date,status,shift,leave_type,leave_application,late_entry_by,early_out_by,is_wfh,company
EMP-1001,2025-05-26,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-05-27,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-05-28,On Leave,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-05-29,On Leave,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-05-30,On Leave,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-05-31,On Leave,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-01,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-02,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-03,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-04,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-05,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-06,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-07,On Leave,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-08,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-09,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-10,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-11,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-12,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-13,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-14,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-15,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-16,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-17,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-18,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-19,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-20,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-21,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-22,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-23,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1001,2025-06-24,Present,G0900R0830,,,0,0,0,Haritha Hospitals
EMP-1002,2025-05-26,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-05-27,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-05-28,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-05-29,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-05-30,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-05-31,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-01,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-02,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-03,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-04,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-05,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-06,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-07,On Leave,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-08,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-09,On Leave,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-10,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-11,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-12,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-13,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-14,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-15,Weekly Off,,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-16,On Leave,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-17,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-18,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-19,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-20,Present,G1000R0800,,,0,0,0,Haritha Hospitals
EMP-1002,2025-06-21,Present,G1000R0800,,,0,0,0,Haritha Hospitals
