# Haritha Hospitals - Schema + Data
# Entity: Employee
# Generated: 2026-08-19 19:31 IST

## Schema
Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Employee,employee_name,Data,Yes,Full name of employee,Manager-1001,free text (synthetic per source)
Employee,employee_number,Data,Yes,Unique employee ID,1001,unique sequential
Employee,status,Select,Yes,Employment status,Active,Active/Inactive/Left/Suspended
Employee,department,Link,Yes,Department,Cardiology,Link → Department
Employee,designation,Link,Yes,Designation,Senior Staff Nurse,Link → Designation
Employee,employment_type,Link,No,Employment type,Full-time,Link → Employment Type
Employee,default_shift,Link,No,Default shift (auto-attendance cron uses this),Morning Regular 06:00-14:00,Link → Shift Type
Employee,date_of_joining,Date,Yes,Date of joining,2025-01-01,ISO date
Employee,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Employee,is_synthetic_data,Check,No,Mark synthetic / test data (custom field),1,0/1
Employee,branch,Link,No,Branch location,Hyderabad,Link → Branch
Employee,gender,Select,No,Gender,Male,Male/Female/Other
Employee,date_of_birth,Date,No,Date of birth,1990-01-01,ISO date
Employee,User_id,Link,No,Frappe User account for login,,Link → User
Employee,holiday_list,Link,No,Holiday list for this employee,Haritha Hospitals Holiday List,Link → Holiday List
Employee,attendance_device_id,Data,No,Biometric device ID,EMP-1001,free text

## Data
employee_name,employee_number,status,department,designation,employment_type,default_shift,date_of_joining,company,is_synthetic_data,branch,gender,date_of_birth,user_id,holiday_list,attendance_device_id
Manager-1001,1001,Active,Maintenance,Manager,Full-time,G0900R0830,2009-01-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1001
Assistant General Manager-1002,1002,Active,Business Development,Assistant General Manager,Full-time,G1000R0800,2009-01-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1002
Senior Manager-1003,1003,Active,General Purchase,Senior Manager,Full-time,G1000R0830,2009-01-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1003
Senior Electrician-1004,1004,Active,Maintenance,Senior Electrician,Full-time,N2000R1200,2009-01-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1004
Sr.Staff Nurse-1005,1005,Active,Nursing,Senior Staff Nurse,Full-time,G1000R0830,2009-01-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1005
Assistant Nurse-1006,1006,Active,Nursing,Assistant Nurse,Full-time,G1100R0830,2009-01-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1006
Sr.Respiratory Therapy-1007,1007,Active,Respiratory Therapy,Senior Respiratory Therapy,Full-time,G1000R0830,2009-01-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1007
Technician-1008,1008,Active,Lab Services,Technician,Full-time,A1200R0830,2009-01-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1008
Clinical Assistant-1009,1009,Active,Medical Services,Clinical Assistant,Full-time,N1700S1600,2009-01-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1009
Staff Nurse-1010,1010,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-01-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1010
Sr.Technician-1011,1011,Active,CSSD,Senior Technician,Full-time,M0600R0830,2009-01-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1011
Sr.Pharma Aid-1012,1012,Active,Pharmacy,Senior Pharma Aid,Full-time,G1100R0830,2009-01-12,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1012
Technician-1013,1013,Active,Lab Services,Technician,Full-time,M0800R0600,2009-01-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1013
Technician-1014,1014,Active,Lab Services,Technician,Full-time,G0900R0830,2009-01-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1014
Incharge - Micu-1015,1015,Active,Nursing,Incharge - Micu,Full-time,G0900R0830,2009-01-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1015
Sr.Nurse Assistant-1016,1016,Active,Nursing,Senior Nurse Assistant,Full-time,G1100R0830,2009-01-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1016
Sr.Technician-1017,1017,Active,Lab Services,Senior Technician,Full-time,G1200R0800,2009-01-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1017
Sr.Staff Nurse-1018,1018,Active,Nursing,Senior Staff Nurse,Full-time,A1400R0600,2009-01-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1018
Technician-1019,1019,Active,Endoscopy,Technician,Full-time,G0900R0830,2009-01-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1019
Pharmacist-1020,1020,Active,Pharmacy,Pharmacist,Full-time,N2000R1200,2009-01-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1020
Staff Nurse-1021,1021,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-01-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1021
Co-Ordinator-1022,1022,Active,OP Operations,Co-Ordinator,Full-time,G1000R0830,2009-01-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1022
Staff Nurse-1023,1023,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-01-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1023
Technician-1024,1024,Active,Operation Theatre,Technician,Full-time,G0900R0830,2009-01-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1024
Electrician-1025,1025,Active,Maintenance,Electrician,Full-time,M0800R0800,2009-01-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1025
Assistant Manager-1026,1026,Active,Finance & Accounts,Assistant Manager,Full-time,G0930R0830,2009-01-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1026
