# Haritha Hospitals - Schema + Data
# Entity: Employee Checkin
# Generated: 2026-08-19 19:31 IST

## Schema
Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Employee Checkin,employee,Link,Yes,Employee,EMP-001,Link → Employee
Employee Checkin,time,Datetime,Yes,Check-in timestamp,2025-05-26 06:00:00,ISO datetime
Employee Checkin,log_type,Select,Yes,IN or OUT,IN,IN/OUT
Employee Checkin,device_id,Data,No,Biometric device ID,DEV-001,free text
Employee Checkin,source,Select,No,Check-in source,Manual,Manual/Biometric/Web/Email
Employee Checkin,is_off,Check,No,Off-shift checkin flag (custom field — fixes pberpqa gap),0,Custom Field 0/1
Employee Checkin,shift,Link,No,Linked shift type,Morning Regular 06:00-14:00,Link → Shift Type
Employee Checkin,company,Link,Yes,Company,Haritha Hospitals,Link → Company

## Data
employee,time,log_type,device_id,source,is_off,shift,company
EMP-1001,2025-05-26 08:53:20,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-26 18:50:41,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-27 08:35:47,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-27 18:46:24,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-28 00:00:00,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-28 00:00:00,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-29 00:00:00,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-29 00:00:00,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-30 00:00:00,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-30 00:00:00,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-31 00:00:00,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-05-31 00:00:00,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-01 00:00:00,IN,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-01 00:00:00,OUT,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-02 09:17:40,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-02 19:01:25,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-03 08:53:35,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-03 17:37:22,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-04 08:56:22,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-04 18:03:50,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-05 08:54:15,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-05 20:13:30,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-06 09:05:12,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-06 18:11:47,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-07 00:00:00,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
